ID;ALIMENTO;Energia Kcal;Carboidrato total;Prote�na;Lip�dios
C0438F;Carne, boi, paleta, s/ gordura, cozida, c/ batata doce e cenoura, c/ óleo, cebola e alho, s/ sal, ;150;4,86;19,5;6,01
C0435F;Carne, boi, paleta, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, c/ sal, ;143;3,17;19,6;5,88
C0436F;Carne, boi, paleta, s/ gordura, cozida, c/ batata e cenoura, c/ óleo, cebola e alho, s/ sal, ;144;3,24;19,6;5,99
C0439F;Carne, boi, paleta, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, c/ sal, ;139;1,99;19,8;5,95
C0440F;Carne, boi, paleta, s/ gordura, cozida, c/ brócolis e cenoura, c/ óleo, cebola e alho, s/ sal, ;140;2,06;19,8;6,06
C0433F;Carne, boi, paleta, s/ gordura, cozida, c/ ervilha e cenoura, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;123;4,83;16;4,77
C0434F;Carne, boi, paleta, s/ gordura, cozida, c/ ervilha e cenoura, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, ;123;4,86;16;4,79
C0669F;Carne, boi, paleta, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Bos taurus, ;163;1,33;24;6,94
C0668F;Carne, boi, paleta, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ;164;1,34;24,1;6,97
C0431F;Carne, boi, paleta, s/ gordura, cozida, refogada (c/ óleo, cebola e alho), c/ sal, ;187;0,68;28,2;8,03
C0663F;Carne, boi, paleta, s/ gordura, cozida, s/ óleo, c/ sal, Bos taurus, ;185;0;29,6;7,37
C0044F;Carne, boi, paleta, s/ gordura, cozida, s/ óleo, s/ sal, Bos taurus, ;184;0;29,5;7,3
C0074F;Carne, boi, paleta, s/ gordura, crua, Bos taurus, ;136;0,24;21;5,67
C0665F;Carne, boi, paleta, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus, ;242;0;27,2;14,7
C0664F;Carne, boi, paleta, s/ gordura, frita (c/ óleo de soja), s/ sal, Bos taurus, ;243;0;27,3;14,8
C0667F;Carne, boi, paleta, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal, ;190;0,75;28,3;8,21
C0075F;Carne, boi, patinho, crua (média de várias amostras), Bos taurus, ;115;0,3;21;3,33
C0636F;Carne, boi, patinho, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal, Bos taurus, ;249;7,94;25,6;12,9
C0635F;Carne, boi, patinho, s/ gordura, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal, Bos taurus, ;250;7,98;25,7;12,9
C0634F;Carne, boi, patinho, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus, ;263;0;32,9;14,7
C0633F;Carne, boi, patinho, s/ gordura, frita (c/ óleo de soja), s/ sal, Bos taurus, ;265;0;33;14,7
C0441F;Carne, boi, patinho, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal, ;212;0,79;34,2;8
C0442F;Carne, boi, patinho, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal, ;213;0,84;34,2;8,11
C0447F;Carne, boi, patinho, s/ gordura, grelhada, c/ manteiga, c/ sal, ;264;0;32,3;14,8
C0448F;Carne, boi, patinho, s/ gordura, grelhada, c/ manteiga, s/ sal, ;267;0,3;32,3;15,2
C0444F;Carne, boi, patinho, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal, ;206;3,48;29,8;8,14
C0443F;Carne, boi, patinho, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal, ;207;3,55;29,8;8,19
C0445F;Carne, boi, patinho, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal, ;207;2,34;29;9,14
C0446F;Carne, boi, patinho, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal, ;208;2,39;29;9,22
C0449F;Carne, boi, patinho, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;183;1,58;29,1;6,88
C0045F;Carne, boi, patinho, s/ gordura, grelhada, s/ óleo, s/ sal, Bos taurus, ;211;0,33;35,9;7,31
C0640F;Carne, boi, patinho, s/ gordura, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Bos taurus, ;182;1,33;28,9;6,87
C0639F;Carne, boi, patinho, s/ gordura, grelhada/assada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ;183;1,34;29,1;6,9
C0632F;Carne, boi, patinho, s/ gordura, grelhada/assada, s/ óleo, c/ sal, Bos taurus, ;208;0;35,7;7,28
C0675F;Carne, boi, peito, s/ gordura, cozida, s/ óleo, c/ sal, Bos taurus, ;330;0;22,1;26,9
C0076F;Carne, boi, peito, s/ gordura, crua, Bos taurus, ;254;0;17,6;20,4
C0677F;Carne, boi, peito, s/ gordura, frita (c/ óleo de soja), c/ sal, Bos taurus, ;376;0;20,4;32,7
C0676F;Carne, boi, peito, s/ gordura, frita (c/ óleo de soja), s/ sal, Bos taurus, ;377;0;20,5;32,8
C0458F;Carne, boi, peito, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal, ;323;0,48;21;26,4
C0450F;Carne, boi, peito, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal, ;324;0,52;21;26,5
C0455F;Carne, boi, peito, s/ gordura, grelhada, c/ manteiga, c/ sal, ;369;0;19,8;32,2
C0456F;Carne, boi, peito, s/ gordura, grelhada, c/ manteiga, s/ sal, ;372;0;19,8;32,6
C0452F;Carne, boi, peito, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal, ;300;3,21;18,7;23,6
C0451F;Carne, boi, peito, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal, ;300;3,29;18,7;23,6
C0453F;Carne, boi, peito, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal, ;301;2,07;17,9;24,6
C0454F;Carne, boi, peito, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal, ;302;2,12;17,9;24,7
C0457F;Carne, boi, peito, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;277;1,31;17,9;22,3
C0046F;Carne, boi, peito, s/ gordura, grelhada, s/ sal, Bos taurus, ;327;0;22;26,6
C0463F;Carne, boi, picanha, c/ gordura, grelhada, c/ óleo, c/ sal, ;308;0,01;25;23,1
C0459F;Carne, boi, picanha, c/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal, ;278;0,48;25,1;19,6
C0460F;Carne, boi, picanha, c/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal, ;279;0,53;25,1;19,7
C0461F;Carne, boi, picanha, c/ gordura, grelhada, c/ manteiga, c/ sal, ;327;0;23,7;25,8
C0462F;Carne, boi, picanha, c/ gordura, grelhada, c/ manteiga, s/ sal, ;330;0,01;23,7;26,2
C0047F;Carne, boi, picanha, c/ gordura, grelhada, s/ sal, Bos taurus, ;281;0,01;26,3;19,5
C0077F;Carne, boi, picanha, crua (média de várias amostras), Bos taurus, ;160;0,56;20,2;8,58
C0823F;Carne, boi, picanha, grelhada/assada, s/ óleo, c/ sal (média de amostras c/ e s/ gordura), Bos taurus, ;254;0;29;15,4
C0822F;Carne, boi, picanha, grelhada/assada, s/ óleo, s/ sal (média de amostras c/ e s/ gordura), Bos taurus, ;255;0;29,2;15,4
C0468F;Carne, boi, picanha, s/ gordura, grelhada, c/ óleo, c/ sal, ;263;0,85;30,3;15,3
C0464F;Carne, boi, picanha, s/ gordura, grelhada, c/ óleo, cebola e alho, c/ sal, ;233;1,33;30,4;11,8
C0465F;Carne, boi, picanha, s/ gordura, grelhada, c/ óleo, cebola e alho, s/ sal, ;234;1,38;30,4;11,9
C0466F;Carne, boi, picanha, s/ gordura, grelhada, c/ manteiga, c/ sal, ;284;0;28,8;18,4
C0467F;Carne, boi, picanha, s/ gordura, grelhada, c/ manteiga, s/ sal, ;287;0,81;28,8;18,8
C0048F;Carne, boi, picanha, s/ gordura, grelhada, s/ sal, Bos taurus, ;233;0,9;31,9;11,3
C0078F;Carne, boi, ponta de agulha, crua, Bos taurus, ;169;0;19,7;10
C0832F;Carne, boi, pulmão, cozido, s/ óleo, c/ sal, ;114;0;20,3;3,68
C0565F;Carne, boi, pulmão, cozido, s/ óleo, s/ sal, ;115;0;20,4;3,7
C0049F;Carne, boi, quarto dianteiro, crua (média de diferentes cortes), Bos taurus, ;149;0,07;19,7;7,79
C0255F;Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal, ;192;1,75;25,3;9,37
C0256F;Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal, ;194;1,81;25,4;9,48
C0258F;Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal, ;142;3,67;17,2;6,62
C0259F;Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal, ;143;3,73;17,2;6,73
C0260F;Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;117;4,02;13,9;5,31
C0257F;Carne, boi, quarto dianteiro, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;166;2,21;21,6;7,99
C0270F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo e cebola, c/ sal, ;286;0,48;27,3;19,5
C0271F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo e cebola, s/ sal, ;287;0,52;27,3;19,6
C0267F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo, c/ sal, ;315;0;27,2;23
C0268F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ óleo, s/ sal, ;319;0;27,2;23,4
C0276F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ manteiga, c/ sal, ;334;0;25,8;25,7
C0277F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ manteiga, s/ sal, ;337;0;25,8;26
C0273F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal, ;269;3,21;24;17,8
C0272F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal, ;269;3,29;24;17,8
C0274F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda) , c/ sal, ;270;2,07;23,2;18,8
C0275F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal, ;271;2,12;23,2;18,9
C0278F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;246;1,31;23,2;16,5
C0279F;Carne, boi, quarto traseiro, c/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, ;194;11,3;11,6;11,6
C0269F;Carne, boi, quarto traseiro, c/ gordura, grelhada, s/ óleo, c/ sal, ;287;0;28,5;19,3
C0020F;Carne, boi, quarto traseiro, c/ gordura, grelhada, s/ óleo, s/ sal, Bos taurus, ;289;0;28,6;19,4
C0050F;Carne, boi, quarto traseiro, crua (média de diferentes cortes), Bos taurus, ;155;0,19;21;7,82
C0261F;Carne, boi, quarto traseiro, s/ gordura, cozida, c/ óleo, cebola e alho, c/ sal, ;204;0,68;28,7;9,67
C0262F;Carne, boi, quarto traseiro, s/ gordura, cozida, c/ óleo, cebola e alho, s/ sal, ;206;0,75;28,7;9,78
C0264F;Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, c/ sal, ;149;2,96;19,4;6,82
C0265F;Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ óleo, cebola e alho, s/ sal, ;151;3,03;19,4;6,93
C0266F;Carne, boi, quarto traseiro, s/ gordura, cozida, c/ batata e vegetais - cenoura, chuchu, vagem, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;124;3,46;15,7;5,47
C0263F;Carne, boi, quarto traseiro, s/ gordura, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;176;1,31;24,4;8,25
C0019F;Carne, boi, quarto traseiro, s/ gordura, cozida, s/ óleo, s/ sal, Bos taurus, ;201;0;30,1;9,02
C0283F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo e cebola, c/ sal, ;224;0,94;30,5;10,9
C0284F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo e cebola, s/ sal, ;225;0,99;30,6;11
C0280F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo, c/ sal, ;253;0;30,5;14,4
C0281F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ óleo, s/ sal, ;257;0,46;30,5;14,9
C0289F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ manteiga, c/ sal, ;275;0;28,9;17,6
C0290F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ manteiga, s/ sal, ;279;0,44;28,9;17,9
C0286F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal, ;216;3,6;26,7;10,6
C0285F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal, ;217;3,68;26,7;10,6
C0287F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), c/ sal, ;218;2,47;25,9;11,6
C0288F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de mostarda (creme de leite, suco de limão e mostarda), s/ sal, ;218;2,51;25,9;11,7
C0291F;Carne, boi, quarto traseiro, s/ gordura, grelhada, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, ;194;1,7;26;9,33
C0282F;Carne, boi, quarto traseiro, s/ gordura, grelhada, s/ óleo, c/ sal, ;223;0,49;31,9;10,3
C0021F;Carne, boi, quarto traseiro, s/ gordura, grelhada, s/ óleo, s/ sal, Bos taurus, ;224;0,49;32,1;10,4
C0838F;Carne, boi, rabo, cozido, s/ óleo, c/ sal, ;349;0;21,6;29,2
C0512F;Carne, boi, rabo, cozido, s/ óleo, s/ sal, ;351;0;21,7;29,3
C0837F;Carne, boi, rabo, cozido, s/ óleo, s/ sal, ;351;0;21,7;29,3
C0081F;Carne, boi, salgada, crua (média várias amostras: charque, seca, jerked beef), Bos taurus, ;273;0;22,3;20,4
C0083F;Carne, boi, salgada, dessalgada, cozida, s/ óleo (média várias amostras: charque, seca, jerked beef), Bos taurus, ;270;0,05;31,6;15,9
C0082F;Carne, boi, salgada, dessalgada, crua, Bos taurus, ;188;0,15;19,1;12,3
C0085F;Carne, boi, seca, cozida, s/ óleo, Bos taurus, ;302;0;26,7;21,7
C0658F;Carne, boi, seca, dessalgada, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Bos taurus, ;259;1,34;21,9;18,6
C0656F;Carne, boi, seca, dessalgada, frita (c/ óleo de soja), s/ sal, Bos taurus, ;353;0;24,8;28,2
C0657F;Carne, boi, seca, dessalgada, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ;304;0,75;25,7;22
C0310F;Carne, bovina, acém, s/ gordura, cozida, c/ batata, s/ sal, ;166;4,84;18,3;8,3
C0612F;Carne, bovina, alcatra, refogada (c/ óleo, cebola e alho), c/ sal, Bos taurus, ;203;0,74;28,2;9,76
C0611F;Carne, bovina, alcatra, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ;204;0,75;28,4;9,8
C0316F;Carne, bovina, capa de contra-filé, c/ gordura, grelhada, c/ óleo e cebola, c/ sal, ;300;0,73;29,2;20,1
C0317F;Carne, bovina, capa de contra-filé, c/ gordura, grelhada, c/ óleo e cebola, s/ sal, ;302;0,78;29,3;20,2
C0318F;Carne, bovina, capa de contra-filé, c/ gordura, grelhada, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal, ;282;3,5;25,6;18,4
C0963F;Carne, bovina, contra-filé de costela, grelhada, c/ óleo de soja, c/ sal, Bos taurus , ;296;0,42;28,4;20,1
C0969F;Carne, bovina, coxão duro (chã de fora), s/ gordura, cozida, c/ óleo de soja, c/ sal, Bos taurus , ;238;0;30,2;13
C0968F;Carne, bovina, coxão duro (chã de fora), s/ gordura, cozida, s/ óleo, c/ sal, Bos taurus , ;207;0;31,7;8,88
C0879F;Carne, bovina, em conserva, ;97;7,85;4,41;5,53
C0601F;Carne, bovina, filé mignon, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal, Bos taurus, ;194;0,74;28,5;8,58
C0600F;Carne, bovina, filé mignon, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ;195;0,75;28,7;8,62
C0802F;Carne, bovina, fraldinha, c/ gordura, grelhada/assada, s/ óleo, c/ sal, Bos taurus, ;238;0;21,6;16,8
C0801F;Carne, bovina, fraldinha, c/ gordura, grelhada/assada, s/ óleo, s/ sal, Bos taurus, ;239;0;21,7;16,9
C0672F;Carne, bovina, músculo, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal, Bos taurus, ;195;0,74;27,5;9,17
C0671F;Carne, bovina, músculo, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ;196;0,75;27,6;9,21
C0947F;Carne, bovina, ossobuco de vitela c/ gordura, cozida, s/ óleo, s/ sal, ;190;2,1;27,9;7,77
C0666F;Carne, bovina, paleta, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ;193;0,75;27,9;8,69
C0638F;Carne, bovina, patinho, s/ gordura, refogada (c/ óleo, cebola e alho), c/ sal, Bos taurus, ;164;0,74;27,8;5,58
C0637F;Carne, bovina, patinho, s/ gordura, refogada (c/ óleo, cebola e alho), s/ sal, Bos taurus, ;165;0,75;27,9;5,61
C0967F;Carne, bovina, picanha, c/ gordura, grelhada, c/ óleo, c/ sal, Bos taurus , ;308;0,01;25;23,1
C0966F;Carne, bovina, picanha, c/ gordura, grelhada, s/ óleo, c/ sal, Bos taurus , ;280;0,01;26,2;19,4
C0965F;Carne, bovina, picanha, s/ gordura, grelhada, c/ óleo de soja, c/ sal, Bos taurus , ;263;0,85;30,3;15,3
C0964F;Carne, bovina, picanha, s/ gordura, grelhada, s/ óleo, c/ sal, Bos taurus , ;232;0,89;31,8;11,3
C0018F;Carne, bovina, quarto dianteiro, s/ gordura, cozida, s/ óleo, s/ sal, Bos taurus, ;189;1,12;26,5;8,7
C0946F;Carne, bovina, quarto traseiro, s/ gordura, assado, recheado com linguiça calabresa, s/ óleo, c/ sal, ;229;0,59;29,2;12,2
C0944F;Carne, bovina, quarto traseiro, s/ gordura, assado, recheado com queijo muçarela, s/ óleo, c/ sal, ;242;0,73;30,3;13,1
C0945F;Carne, bovina, quarto traseiro, s/ gordura, assado, recheado com toucinho defumado (bacon), s/ óleo, c/ sal, ;314;0,48;31;20,9
C0856F;Carne, bovina, rosbife, fatiado, ;110;0,64;18,6;3,69
C0865F;Carne, caça (capivara, coelho), cozida, assada, s/ óleo, c/ sal, ;168;0,75;30,6;4,67
C0864F;Carne, caça (capivara, coelho), cozida, assada, s/ óleo, s/ sal, ;168;0,75;30,8;4,69
C0567F;Carne, caça (esquilo), crua, Sciuridae, ;114;0;21,2;3,21
C0582F;Carne, caça, paca, assada, (carne de caça, vinho branco, aipo (salsão), hortelã, salsa, c/ azeite de oliva e alho, c/ pimenta-do-reino, c/ sal), ;222;2,28;21,7;13,3
C0798F;Carne, cabrito, assada, s/ óleo, c/ sal (média de diferentes cortes e raças), Capra ssp, ;197;0;34,3;6,69
C0797F;Carne, cabrito, assada, s/ óleo, s/ sal (média de diferentes cortes e raças), Capra ssp, ;198;0;34,4;6,72
C0090F;Carne, cabrito, costela, crua, Capra hirbus, ;143;1,67;19,6;6,41
C0850F;Carne, cabrito, cozida, assada, s/ óleo, c/ sal, ;135;0;27;3,02
C0583F;Carne, cabrito, cozida, assada, s/ óleo, s/ sal, ;136;0;27,1;3,03
C0586F;Carne, cabrito, cozida, c/ batata, cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta do reino, c/ sal, ;96;4,05;14,3;2,86
C0588F;Carne, cabrito, cozida, c/ batata, cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta do reino, s/ sal, ;97;4,1;14,3;2,88
C0587F;Carne, cabrito, cozida, c/ vegetais - cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal, ;105;2,82;16,8;3,16
C0589F;Carne, cabrito, cozida, c/ vegetais, cenoura, chuchu, abobrinha, ervilha em vagem, alecrim, c/ óleo, cebola e alho, c/ pimenta do reino, s/ sal, ;106;3,17;16,8;3,24
C0796F;Carne, cabrito, crua (média de diferentes cortes e raças), Capra ssp, ;113;0;19,6;3,83
C0089F;Carne, cabrito, crua (média de diferentes cortes), Capra hirbus, ;120;0,09;19,3;4,69
C0091F;Carne, cabrito, lombo, crua (média de diferentes amostras), Capra hirbus, ;140;0,93;20;6,21
C0092F;Carne, cabrito, mamão, crua (média de diferentes amostras), Capra hirbus, ;84;0,86;17,5;1,16
C0093F;Carne, cabrito, paleta, crua (média de diferentes amostras), Capra hirbus, ;126;0,63;20,3;4,68
C0094F;Carne, cabrito, perna, crua (média de diferentes amostras), Capra hirbus, ;109;0;21,3;2,69
C0096F;Carne, cabrito, pernil e paleta, crua (média de diferentes amostras), Capra hirbus, ;108;0;20,5;2,85
C0095F;Carne, cabrito, pescoço, crua (média de diferentes amostras), Capra hirbus, ;131;1,14;20,5;4,98
C0863F;Carne, coelho, cozida, s/ óleo, c/ sal, ;168;0;29,2;5,67
C0862F;Carne, coelho, cozida, s/ óleo, s/ sal, ;169;0;29,3;5,7
C0097F;Carne, coelho, selecta, crua (média de diferentes cortes), Lepus cuniculus, ;117;1,52;18,5;4,06
C0571F;Carne, crocodilo, rabo, crua, Crocodylus spp., ;104;0;22,5;1,6
C0746F;Carne, frango, asa, c/ pele, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), c/ sal, Gallus gallus, ;393;15,6;22,5;26,9
C0745F;Carne, frango, asa, c/ pele, à milanesa (ovo e farinha de rosca), frita (c/ óleo de soja), s/ sal, Gallus gallus, ;395;15,7;22,6;27,1
C0742F;Carne, frango, asa, c/ pele, assada, s/ óleo, c/ sal, Gallus gallus, ;233;0;23,1;15,6
C0741F;Carne, frango, asa, c/ pele, assada, s/ óleo, s/ sal, Gallus gallus, ;234;0;23,2;15,6
C0740F;Carne, frango, asa, c/ pele, cozida (líquido do cozimento excluído), s/ óleo, c/ sal, Gallus gallus, ;222;0;21;15,3
C0739F;Carne, frango, asa, c/ pele, cozida (líquido do cozimento excluído), s/ óleo, s/ sal, Gallus gallus, ;223;0;21;15,4
C0750F;Carne, frango, asa, c/ pele, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal, Gallus gallus, ;193;1,33;17,1;13,3
C0749F;Carne, frango, asa, c/ pele, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal, Gallus gallus, ;193;1,34;17,2;13,4
C0744F;Carne, frango, asa, c/ pele, frita (c/ óleo de soja), c/ sal, Gallus gallus, ;286;0;21,3;22,3
C0743F;Carne, frango, asa, c/ pele, frita (c/ óleo de soja), s/ sal, Gallus gallus, ;287;0;21,3;22,4
C0748F;Carne, frango, asa, c/ pele, refogada (c/ óleo, cebola e alho), c/ sal, Gallus gallus, ;244;0,74;20,2;17,9
C0747F;Carne, frango, asa, c/ pele, refogada (c/ óleo, cebola e alho), s/ sal, Gallus gallus, ;245;0,75;20,2;17,9
C0498F;Carne, frango, assada, c/ tucupi, pimenta-de-cheiro, jambu, chicória (coentro bravo), cebola, alho, c/ sal, ;136;2,33;20,1;5,29
C0104F;Carne, frango, caipira, inteiro, c/ pele, cozida, s/ óleo, s/ sal, Gallus gallus, ;236;0,01;23,9;15,6
C0532F;Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal, ;235;1;22,4;15,7
C0536F;Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal, ;235;1,04;22,4;15,7
C0533F;Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, c/ sal, ;196;2,46;17,3;13,2
C0537F;Carne, frango, caipira, inteiro, c/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, s/ sal, ;196;2,49;17,3;13,2
C0724F;Carne, frango, caipira, inteiro, cozida, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal (média de amostras c/ e s/ pele), Gallus gallus, ;203;3,26;22,4;11,2
C0723F;Carne, frango, caipira, inteiro, cozida, c/ molho branco (farinha de trigo, manteiga e leite), s/ sal (média de amostras c/ e s/ pele), Gallus gallus, ;204;3,27;22,5;11,2
C0722F;Carne, frango, caipira, inteiro, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal (média de amostras c/ e s/ pele), Gallus gallus, ;180;1,33;21,7;9,9
C0721F;Carne, frango, caipira, inteiro, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), s/ sal (média de amostras c/ e s/ pele), Gallus gallus, ;181;1,34;21,8;9,94
C0713F;Carne, frango, caipira, inteiro, cozida, s/ óleo, c/ sal (média de amostras c/ e s/ pele), Gallus gallus, ;206;0;26,7;11,1
C0712F;Carne, frango, caipira, inteiro, cozida, s/ óleo, s/ sal (média de amostras c/ e s/ pele), Gallus gallus, ;207;0;26,8;11,1
C0711F;Carne, frango, caipira, inteiro, crua (média de amostras c/ e s/ pele), Gallus gallus, ;172;0;18,5;10,9
C0876F;Carne, frango, caipira, inteiro, s/ pele, cozida, s/ óleo, c/ sal, ;188;0,21;29,5;7,67
C0105F;Carne, frango, caipira, inteiro, s/ pele, cozida, s/ óleo, s/ sal, Gallus gallus, ;188;0,21;29,6;7,7
C0534F;Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, c/ sal, ;191;1,19;27,7;8,39
C0538F;Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ óleo, cebola e alho, c/ pimenta-do-reino, s/ sal, ;191;1,22;27,7;8,39
C0535F;Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, c/ sal, ;163;2,6;21,3;7,64
C0539F;Carne, frango, caipira, inteiro, s/ pele, cozida, salsa, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ pimenta-do-reino, s/ sal, ;163;2,63;21,3;7,64
C0106F;Carne, frango, coração, assada, brasa, s/ óleo, s/ sal, Gallus gallus, ;202;11,4;39;12,1
