nome,categoria,porcao_g,kcal,prot_g,carb_g,gord_g,contexto_culinario,incompativel_com,velocidade_absorcao,preco
"Açafrão, pistilo, <i>in natura</i>, Crocus sativus, ",Outros Carboidratos,100.0,352,11.4,65.4,5.8,Café|Lanche,Almoço|Jantar|Lixo,Lenta,$$$$
"Açúcar (média de diferentes tipos), ",Doces/Sobremesas,100.0,395,0.3,98.3,0.0,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Açúcar, cristal, ",Doces/Sobremesas,100.0,400,0.3,99.6,0.0,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Açúcar, mascavo, ",Doces/Sobremesas,100.0,382,0.8,94.4,0.1,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Açúcar, refinado (média de diferentes amostras), ",Doces/Sobremesas,100.0,397,0.2,99.0,0.0,Café|Lanche,Almoço|Jantar|Lixo,Muito Rápida,$$
"Abóbora, cabotian (japonesa), c/ quiabo, refogado (c/ óleo, cebola e alho), c/ salsa, c/ sal, ",Outros Carboidratos,100.0,48,1.5,8.2,1.6,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, cabotian (japonesa), s/ casca, cozida, drenada, s/ óleo, s/ sal, <i>Cucurbita maxima</i> x <i>Cucurbita moschata</i>, ",Outros Carboidratos,100.0,50,1.4,10.8,0.7,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, cabotian (japonesa), s/ casca, s/sementes, crua, <i>Cucurbita maxima</i> x <i>Cucurbita moschata</i>, ",Legumes,100.0,41,1.8,8.4,0.5,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Abóbora, menina brasileira, s/ casca, s/ sementes, crua, Cucurbita moschata, ",Legumes,100.0,13,0.6,3.3,0.0,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Abóbora, moranga, refogada (c/ óleo, cebola e alho), c/ sal, ",Outros Carboidratos,100.0,30,0.4,6.0,0.8,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, refogada (c/ óleo, cebola e alho), s/ sal, Cucurbita maxima, ",Outros Carboidratos,100.0,30,0.4,6.0,0.8,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, c/ sal, Curcubita spp., ",Outros Carboidratos,100.0,32,1.4,4.8,1.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, cozida, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ salsa, c/ pimenta-do-reino, s/ sal, Curcubita spp., ",Outros Carboidratos,100.0,33,1.4,5.0,1.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,26,1.8,5.9,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, s/ semente, assada, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,26,1.8,5.9,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, c/ sal, ",Outros Carboidratos,100.0,38,1.2,3.9,2.5,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, c/ óleo de soja, s/ sal, ",Outros Carboidratos,100.0,38,1.2,3.9,2.5,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,17,1.2,4.0,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,17,1.2,4.0,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, moranga, s/ casca, s/ sementes, crua, Curcubita spp., ",Legumes,100.0,16,1.1,3.7,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Abóbora, paulista, crua, <i>Cucurbita maxima</i> Duchesne, ",Legumes,100.0,30,0.6,7.9,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, c/ sal, ",Outros Carboidratos,100.0,26,0.7,6.7,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, pescoço, s/ casca, s/ semente, cozida, drenada, s/ óleo, s/ sal, ",Outros Carboidratos,100.0,26,0.7,6.7,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$$
"Abóbora, pescoço, s/ casca, s/ sementes, crua, Cucurbita moschata, ",Legumes,100.0,24,0.7,6.1,0.1,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Abóbora, s/ casca, s/ sementes, crua, Curcubita spp., ",Legumes,100.0,22,1.1,5.0,0.2,Almoço|Jantar,Café|Lanche|Lixo,Média,$
"Abacate, polpa, <i>in natura</i>, <i>Persea americana</i> Mill, ",Frutas,100.0,76,1.1,5.8,6.2,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Abacaxi, cozido, caramelado, ",Frutas,100.0,136,0.6,33.3,0.3,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Abacaxi, polpa, <i>in natura</i>, <i>Ananas comosus</i> L., ",Frutas,100.0,50,0.7,11.6,0.3,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Abacaxi, polpa, congelada, <i>Ananas comosus</i> L., ",Frutas,100.0,33,0.5,7.8,0.1,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Abacaxi, polpa, desidratada, Ananas comosus, ",Frutas,100.0,279,3.8,64.9,1.9,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Abacaxi, polpa, grelhado, c/ canela, ",Frutas,100.0,51,0.7,12.0,0.3,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Abiu, <i>in natura</i>, <i>Lucuma caimito</i> (Ruiz ",Frutas,100.0,66,0.8,14.9,0.7,Café|Lanche,Almoço|Jantar|Lixo,Rápida,$
"Abobrinha recheada, c/ sal, (abobrinha grelhada, c/ muçarela, carne bovina, patinho moído, refogado, c/ molho de tomate (tomate, c/ óleo, cebola e alho), c/ sal), ",Carne Vermelha,100.0,88,8.7,4.4,4.3,Almoço|Jantar,Café|Lanche|Lixo,Média,$$$
